,accuracy,precision,recall,f1
count,2.0,2.0,2.0,2.0
mean,0.0925534081982602,0.008536215892653451,0.00532497049260265,0.006551665967741651
std,0.12988233745878486,0.011830873815938035,0.007266516328485188,0.009013333182578312
min,0.0007127266247939,0.0001705247900413,0.000186767521128,0.0001782769532468
25%,0.04663306741152705,0.0043533703413473745,0.0027558690068653253,0.003364971460494225
50%,0.0925534081982602,0.008536215892653451,0.00532497049260265,0.006551665967741651
75%,0.13847374898499334,0.012719061443959526,0.007894071978339974,0.009738360474989076
max,0.1843940897717265,0.0169019069952656,0.0104631734640773,0.0129250549822365
