,accuracy,precision,recall,f1
count,26.0,26.0,26.0,26.0
mean,0.9362741295071892,0.9312403302669086,0.9426997565138606,0.9364202635055244
std,0.08446939508405334,0.08527528050438866,0.0886462989803048,0.08550186113189832
min,0.7286133631534806,0.7406293846462216,0.6785812106272254,0.7184803886029145
25%,0.948595191501258,0.9378922298063749,0.9611750205423171,0.9503053069203488
50%,0.963516913614761,0.9535125349884386,0.9752807450013694,0.9646751490375716
75%,0.9967427616926503,0.9961519686248729,0.996498599439776,0.9965860424229688
max,0.997327394209354,0.9985955056179776,0.9978991596638656,0.9971988795518208
