model,features,source_dataset,target_dataset,accuracy,precision,recall,f1
LogReg,lfs_cv,ISOT,WELFake,0.1843940897717265,0.0169019069952656,0.0104631734640773,0.0129250549822365
LinearSVC,tfidf_text,WELFake,ISOT,0.0007127266247939,0.0001705247900413,0.000186767521128,0.0001782769532468
