model,features,source_dataset,target_dataset,accuracy,precision,recall,f1
LogReg,lfs_cv,ISOT,WELFake,0.18439408977172653,0.016901906995265698,0.01046317346407735,0.012925054982236507
LinearSVC,tfidf_text,WELFake,ISOT,0.0007127266247939774,0.00017052479004135227,0.00018676752112807581,0.00017827695324686903
