model,accuracy,precision,recall,f1,roc_auc
LogReg – Title TF-IDF,0.44898765432098764,0.4432179294196354,0.5408163265306123,0.48717713025094217,0.48435228005077635
LogReg – Text TF-IDF,0.464641975308642,0.4507708313629055,0.4863265306122449,0.4678741471555491,0.521252099404355
LogReg – Title+Text TF-IDF,0.38869135802469135,0.3794521828550061,0.4141836734693878,0.3960579597014197,0.45921023337564687
LinearSVM – Title TF-IDF,0.3884444444444444,0.38014842300556584,0.41816326530612247,0.39825072886297375,0.42298377111610197
LinearSVM – Text TF-IDF,0.336,0.3201460142067877,0.3311224489795918,0.32554173354735155,0.39760422322038863
LinearSVM – Title+Text TF-IDF,0.3038518518518519,0.28491340474521976,0.2904081632653061,0.2876345444438829,0.3755666048237477
